"_","QUTT_fld_centro__c","QUTT_fld_modoEnvio__c","QUTT_fld_buzonTerrestre__c"
"[QUSAC_obj_cartera__c]","01","CX","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","01","CY","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","AG","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","AX","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CE","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CG","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CP","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CR","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CT","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CX","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","CY","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","IC","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","02","IG","PALET_PUERTOLLANO"
"[QUSAC_obj_cartera__c]","03","A2","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","AG","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","AX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CC","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CD","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","CF","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","CI","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","03","CJ","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CL","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","CO","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","03","CR","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","CZ","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","03","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","ID","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","IE","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","03","IF","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","03","IH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","03","IL","LIQUIDOS"
"[QUSAC_obj_cartera__c]","09","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","CR","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","09","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","10","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","10","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","10","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","10","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","106","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","106","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","106","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","106","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","110","CL","LIQUIDOS"
"[QUSAC_obj_cartera__c]","110","CP","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","110","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","110","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","110","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","110","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","AX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","CJ","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","CR","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","128","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","128","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","128","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","134","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","134","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","134","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","143","CC","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","143","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","143","CR","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","143","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","143","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","143","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","143","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","143","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","15","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","15","CR","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","15","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","15","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","15","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","15","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","15","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","16","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","16","CR","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","16","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","16","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","16","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","16","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","16","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","2250","A2","SINES"
"[QUSAC_obj_cartera__c]","2250","AX","SINES"
"[QUSAC_obj_cartera__c]","2250","CG","SINES"
"[QUSAC_obj_cartera__c]","2250","CT","SINES"
"[QUSAC_obj_cartera__c]","2250","CX","SINES"
"[QUSAC_obj_cartera__c]","2250","CY","SINES"
"[QUSAC_obj_cartera__c]","2250","IC","SINES"
"[QUSAC_obj_cartera__c]","2250","IG","SINES"
"[QUSAC_obj_cartera__c]","28","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","28","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","28","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","28","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","29","CA","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","29","CH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","29","IH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","36","AG","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","36","AX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","36","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","36","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","36","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","36","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","36","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","37","AX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","37","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","37","CR","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","37","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","37","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","37","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","37","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","38","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","38","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","38","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","38","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","40","CD","LIQUIDOS"
"[QUSAC_obj_cartera__c]","40","CF","LIQUIDOS"
"[QUSAC_obj_cartera__c]","40","CH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","40","CI","LIQUIDOS"
"[QUSAC_obj_cartera__c]","40","CL","LIQUIDOS"
"[QUSAC_obj_cartera__c]","40","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","40","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","40","IC","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","40","ID","LIQUIDOS"
"[QUSAC_obj_cartera__c]","40","IE","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","40","IH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","40","IL","LIQUIDOS"
"[QUSAC_obj_cartera__c]","47","CH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","47","ID","LIQUIDOS"
"[QUSAC_obj_cartera__c]","47","IF","LIQUIDOS"
"[QUSAC_obj_cartera__c]","47","IH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","BE09","IE","LIQUIDOS_ADR"
"[QUSAC_obj_cartera__c]","BE12","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","CO90","CG","SINES"
"[QUSAC_obj_cartera__c]","CO90","CT","SINES"
"[QUSAC_obj_cartera__c]","DE06","ID","LIQUIDOS"
"[QUSAC_obj_cartera__c]","DE06","IH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","DE67","IH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","FR98","CG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","FR98","IG","BULK_TARRAGONA"
"[QUSAC_obj_cartera__c]","GB99","IF","LIQUIDOS"
"[QUSAC_obj_cartera__c]","GB99","IH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","MA01","CT","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","MA01","CX","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","MA01","CY","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","02","CH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","02","CF","LIQUIDOS"
"[QUSAC_obj_cartera__c]","02","IF","LIQUIDOS"
"[QUSAC_obj_cartera__c]","02","IH","LIQUIDOS"
"[QUSAC_obj_cartera__c]","2250","AG","SINES"
"[QUSAC_obj_cartera__c]","09","AG","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","115","AG","PALET_TARRAGONA"
"[QUSAC_obj_cartera__c]","38","AG","PALET_TARRAGONA"